                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.004,                 5.0649,                 2.3421,                0.67313,                0.54293,                0.58912,                0.46521,                 1.7539,                 2.2507,                 2.1893,             0.00018214,             0.00018214,             0.00018214
                      2,                 1.9531,                 2.2471,                 2.1445,                0.79539,                  0.662,                0.75354,                0.58427,                 1.7544,                 1.7267,                 2.2287,             0.00036383,             0.00036383,             0.00036383
                      3,                 1.8781,                 1.7602,                 2.1176,                0.83598,                0.70829,                0.78991,                 0.6183,                 1.7979,                 1.4578,                 2.2935,             0.00054186,             0.00054186,             0.00054186
                      4,                 1.7813,                 1.6985,                 2.1423,                0.77554,                0.81919,                0.86436,                0.67196,                 1.7659,                 1.2702,                 2.2704,             0.00053949,             0.00053949,             0.00053949
                      5,                 1.8105,                 1.4891,                 2.1007,                0.82434,                0.75921,                0.82508,                0.65089,                 1.6823,                 1.3724,                 2.2106,             0.00053398,             0.00053398,             0.00053398
                      6,                 1.7667,                 1.3699,                 2.1092,                0.85067,                0.77395,                 0.8439,                0.66201,                 1.7075,                 1.2822,                 2.2355,             0.00052848,             0.00052848,             0.00052848
                      7,                 1.7816,                 1.3597,                 2.0907,                0.87173,                0.81444,                 0.8722,                0.68756,                 1.6998,                  1.158,                  2.225,             0.00052297,             0.00052297,             0.00052297
                      8,                 1.7464,                 1.3381,                 2.0959,                0.86211,                0.76682,                0.85388,                 0.6766,                 1.7102,                 1.2412,                 2.2632,             0.00051747,             0.00051747,             0.00051747
                      9,                 1.7179,                 1.2641,                 2.1009,                0.85027,                0.81675,                0.87666,                0.69276,                 1.7705,                 1.2369,                  2.237,             0.00051196,             0.00051196,             0.00051196
                     10,                 1.6984,                 1.2549,                 2.0755,                0.88726,                0.81793,                0.88738,                0.69509,                 1.7855,                 1.0975,                 2.2628,             0.00050646,             0.00050646,             0.00050646
                     11,                  1.735,                 1.1912,                 2.0594,                0.87583,                0.79578,                0.86226,                0.68194,                 1.7424,                 1.1413,                 2.2157,             0.00050096,             0.00050096,             0.00050096
                     12,                 1.6856,                 1.2081,                 2.0896,                0.89239,                0.82215,                0.88884,                0.70966,                 1.7332,                 1.0865,                 2.1822,             0.00049545,             0.00049545,             0.00049545
                     13,                 1.6485,                 1.0768,                 2.0547,                0.89008,                0.85416,                0.90319,                0.71683,                 1.6828,                 1.0277,                 2.1995,             0.00048995,             0.00048995,             0.00048995
                     14,                 1.6869,                 1.1161,                  2.061,                0.91087,                0.79654,                0.88441,                0.68839,                 1.7651,                 1.0532,                 2.3033,             0.00048444,             0.00048444,             0.00048444
                     15,                 1.6582,                 1.1112,                 2.0482,                0.89291,                0.82347,                0.89958,                0.72071,                 1.6689,                  1.019,                 2.1529,             0.00047894,             0.00047894,             0.00047894
                     16,                 1.6725,                  1.101,                 2.0128,                0.91566,                0.81098,                0.89379,                0.71462,                 1.6885,                 1.0446,                 2.2307,             0.00047343,             0.00047343,             0.00047343
                     17,                 1.6351,                  1.077,                  2.029,                0.89881,                0.83651,                0.90091,                 0.7158,                 1.6804,                 1.0526,                 2.1783,             0.00046793,             0.00046793,             0.00046793
                     18,                 1.6283,                 1.0466,                 2.0182,                 0.8782,                0.84163,                0.89256,                0.71173,                 1.6367,                 1.0323,                 2.1786,             0.00046243,             0.00046243,             0.00046243
                     19,                 1.5884,                 1.0474,                 2.0178,                 0.8797,                0.84247,                0.89996,                0.72252,                 1.6405,                 1.0332,                 2.1118,             0.00045692,             0.00045692,             0.00045692
                     20,                 1.5973,                 1.0044,                 1.9879,                0.91541,                0.82816,                0.91097,                0.73204,                 1.6977,                 1.0436,                 2.1791,             0.00045142,             0.00045142,             0.00045142
                     21,                 1.5887,                 1.0527,                 1.9823,                0.89135,                0.83672,                0.90418,                0.71824,                 1.6991,                 1.0293,                 2.1355,             0.00044591,             0.00044591,             0.00044591
                     22,                 1.6013,                0.98522,                 1.9607,                0.87595,                 0.8299,                0.89158,                0.71836,                 1.6595,                 1.0124,                 2.1376,             0.00044041,             0.00044041,             0.00044041
                     23,                  1.571,                0.97799,                 2.0049,                0.88474,                0.84475,                0.91161,                0.73536,                 1.6226,                0.98318,                 2.1707,              0.0004349,              0.0004349,              0.0004349
